word,translation,ipa,example,exampleTranslation,level,topic
spend — spent — spent,проводить (время),/spɛnd/,We spend time together.,Мы проводим время вместе.,A2,Отношения
spice,"специя, пряность",/spɑɪs/,"Cinnamon, ginger and cloves are all spices","Корица, имбирь и гвоздика — всё это специи.",B1,Еда
spicy,"острый, пряный",/ˈspɑɪ.si/,Do you like spicy food?,Вы любите острую еду?,B1,Еда
spinach,шпинат,/ˈspɪn.ɪtʃ/,Spinach can be used in smoothies.,Шпинат можно использовать в смузи.,B1,Еда
spirit,крепкий алкоголь,/ˈspɪr.ɪt/,I never drink spirits,Я никогда не пью крепкий алкоголь.,C1,Еда
spoon,ложка,/spuːn/,"Could I have a spoon, please?","Можно мне ложку, пожалуйста?",A2,Еда
,,,,,,
sport,спорт,/spɔrt/,Swimming is my favorite sport.,Плавание — мой любимый вид спорта,A1,Хобби и спорт
spring,весна,/spərɪŋ/,Spring is my favorite season.,Весна — моё любимое время года,A2,Природа
square,квадратный,/skwɛr/,The room is square.,Комната квадратная,A2,Описания
square,квадрат,/skwɛr/,Draw a square.,Нарисуй квадрат,A2,Описания
stadium,стадион,/ˈsteɪdiəm/,The stadium is huge.,Стадион огромный,A2,Места
staff,"персонал, штат",/stæf/,Our staff is very friendly.,Наш персонал очень дружелюбный,A2,Профессия
stage,сцена (театр),/steɪʤ/,The singer is on the stage.,Певец на сцене,A2,Музыка
stairs,лестница,/stɛrz/,The stairs are steep.,Лестница крутая.,A2,Дом
stale,"чёрствый, несвежий",/steɪl/,Bread  goes stale quickly if it's not covered.,"Хдеб быстро черствеет, если его не накрыть.",B1,Еда
stamp,марка (почтовая),/stæmp/,I need a stamp for this letter.,Мне нужна марка для этого письма,A2,Общение
stand — stood — stood,вставать,/stænd/,Please stand up.,"Пожалуйста, постойте здесь..",A2,Действия
star,звезда (знаменитость),/stɑr/,She is a movie star.,Она кинозвезда,A2,Медиа
start — started,начинать,/stɑrt/,Let's start the lesson.,Давай начнём урок.,A1,Учеба
starving,"очень голодный, умирающий с голоду",/ˈstɑrv.ɪŋ/,I'm absolutely starving,Я умираю с голоду.,B2,Еда
station,"станция, вокзал",/ˈsteɪʃən/,The train station is near.,Вокзал рядом,A1,Места
stay,"остановиться, пожить",/steɪ/,We stay at a nice hotel.,Мы останавливаемся в хорошем отеле,A2,Транспорт
stay — stayed,оставаться,/steɪ/,Please stay with me.,"Пожалуйста, останься со мной.",A1,Отношения
steak,стейк,/steɪk/,"How would you like your steak? Rare, medium, or well-done?","Какой прожарки стейк желаете? С кровью, средней или полной?",A2,Еда
,,,,,,
steal — stole — stolen,"красть, воровать",/stil/,Someone stole my phone.,Кто-то украл мой телефон.,A2,Действия
still,всё ещё,/stɪl/,I'm still waiting.,Я всё ещё жду.,A2,Время
stomach,"живот, желудок",/ˈstəmək/,My stomach hurts.,У меня болит живот,A2,Тело и здоровье
stomachache,боль в животе,/ˈstəməkˌeɪk/,I have a stomachache.,У меня болит живот,A2,Тело и здоровье
stop,остановка,/stɑp/,The bus stop is near here.,Автобусная остановка рядом отсюда,A1,Транспорт
stop,останавливаться (о транспорте),/stɑp/,The bus stops here.,Автобус здесь останавливается,A2,Транспорт
stop — stopped,"останавливать, прекращать",/stɑp/,"Stop talking, please.","Прекрати разговаривать, пожалуйста.",A1,Учеба
store,магазин,/stɔr/,The store opens at nine.,Магазин открывается в девять,A1,Места
storm,"буря, гроза",/stɔrm/,There's a storm coming.,Приближается буря,A2,Природа
story,"история, рассказ",/ˈstɔri/,Tell me a story.,Расскажи мне историю,A2,Общение
stove,"плита, печка",/stoʊv/,My grandfather used a wood stove to heat his cabin.,Мой дед использовал дровяную печь для отопления своей избушки.,A2,Еда
,,,,,,
straight,прямой,/streɪt/,Draw a straight line.,Нарисуй прямую линию,A2,Описания
straight,прямо,/streɪt/,Go straight ahead.,Иди прямо,A2,Описания
strange,"странный, необычный",/streɪnʤ/,What a strange story!,Какая странная история!,A2,Описания
straw,трубочка для питья,/strɔː/,"Could I have a straw, please?.","Можно мне трубочку, пожалуйста?",C2,Еда
strawberry,клубника,/ˈstrɔːˌber.i/,I picked some fresh strawberries today - would you like some?,Я сегодня собрала свежую клубнику — хочешь?,B1,Еда
Street,улица (Street),/strit/,I live on Main Street.,Я живу на Главной улице,A1,Места
street,улица,/strit/,This street is quiet.,Эта улица тихая,A1,Транспорт
strong,сильный (физически),/strɔŋ/,He is very strong.,Он очень сильный.,A2,Люди
student,"студент, ученик",/ˈstudənt/,She is a good student.,Она хорошая ученица,A1,Учеба
studies,учёба,/ˈstədiz/,How are your studies?,Как твои дела в учёбе?,A2,Учеба
study — studied,"учиться, изучать",/ˈstədi/,I study English every day.,Я изучаю английский каждый день.,A1,Учеба
subject,предмет (учебный),/ˈsəbʤɪkt/,Math is my favorite subject.,Математика — мой любимый предмет,A1,Учеба
subway,метро,/ˈsəbˌweɪ/,I take the subway to work.,Я езжу на метро на работу,A1,Транспорт
such as,"такой как, например",/səʧ ɛz/,Fruits such as apples.,"Фрукты, такие как яблоки",A2,Общение
sugar,сахар,/ˈʃʊg.ər/,"I don't take sugar in my coffee, thanks","Я не кладу сахар в кофе, спасибо.",A1,Еда
,,,,,,
suit,костюм,/sut/,He wears a suit to work.,Он носит костюм на работу,A2,Одежда
suitcase,чемодан,/ˈsutˌkeɪs/,Pack your suitcase.,Упакуй свой чемодан,A2,Транспорт
summer,лето,/ˈsəmər/,Summer is my favorite season.,Лето — моё любимое время года,A1,Природа
sun,солнце,/sʌn/,The sun is bright.,,A1,Погода
sun,солнце,/sʌn/,The sun is bright.,Солнце яркое,A1,Семья
Sunday,воскресенье,/ˈsənˌdi/,Sunday is a quiet day.,Воскресенье — тихий день.,A1,Дни недели
sunglasses,солнцезащитные очки,/ˈsənˌglæsɪz/,I need my sunglasses.,Мне нужны мои солнечные очки,A2,Одежда
sunny,солнечный,/ˈsəni/,It's a sunny day.,Солнечный день,A2,Природа
superlative,превосходная степень,/sʊˈpərlətɪv/,Best is the superlative of good.,Best — это превосходная степень от good,A2,Общение
supermarket,супермаркет,/ˈsupərˌmɑrkɪt/,I buy food at the supermarket.,Я покупаю еду в супермаркете,A1,Места
supper,ужин,/ˈsʌp.ər/,Please do join us for supper on 25 December.,"Пожалуйста, присоединяйтесь к нам на ужин 25 декабря.",A2,Еда
,,,,,,
sure,конечно,/ʃʊr/,"Sure, I can help you.","Конечно, я могу помочь",A2,Общение
sure,уверенный,/ʃʊr/,Are you sure?,Ты уверен?,A2,Эмоции
surf,сёрфить (на волнах),/sərf/,Let's go surf!,Пойдём серфить!,A2,Хобби и спорт
surfing,серфинг,/ˈsərfɪŋ/,Surfing is exciting.,Сёрфинг — это захватывающе,A2,Хобби и спорт
surprise,сюрприз,/səˈpraɪz/,What a nice surprise!,Какой приятный сюрприз!,A2,Эмоции
surprised,удивлённый,/səˈpraɪzd/,I'm surprised to see you here.,Я удивлён видеть тебя здесь,A2,Эмоции
sustainable,устойчивый,/səˈsteɪnəbəl/,Sustainable development matters.,,B2,Природа
sweater,свитер,/ˈswɛtər/,This sweater is warm.,Этот свитер тёплый,A2,Одежда
sweet,сладкий,/swiːt/,The pineapple was sweet and juicy,Ананас был сладким и сочным.,A1,Еда
,,,,,,
sweet,"милый, приятный",/swit/,A sweet little girl.,Милая маленькая девочка.,A2,Люди
sweets,сладости,/swiːts/,Rosie tries to avoid sweets. .,Рози старается избегать сладкого.,A2,Еда
,,,,,,
swim,купание,/swɪm/,Let's have a swim.,Давай поплаваем,A2,Хобби и спорт
swim — swam — swum,плавать,/swɪm/,I can swim very well.,Я очень хорошо плаваю.,A1,Хобби и спорт
swimming,плавание,/ˈswɪmɪŋ/,Swimming is my sport.,Плавание — мой вид спорта,A2,Хобби и спорт
swimming pool,бассейн,/ˈswɪmɪŋ pul/,The swimming pool is large.,Бассейн большой,A1,Места
swimsuit,купальник,/ˈswɪmˌsut/,Bring your swimsuit.,Возьми свой купальник,A2,Одежда
T-shirt,футболка,/ˈtiˌʃərt/,He is wearing a black T-shirt.,На нём чёрная футболка,A1,Одежда
table,стол,/ˈteɪbəl/,Put the plates on the table.,Поставь тарелки на стол.,A1,Дом
table tennis,настольный теннис,/ˈteɪbəl ˈtɛnɪs/,Let's play table tennis.,Давай поиграем в настольный теннис,A2,Хобби и спорт
take,сесть на (транспорт),/teɪk/,Take the bus to the city.,Поезжай на автобусе в город,A2,Транспорт
take — took — taken,"отвозить, сопровождать",/teɪk/,I will take you home.,Я отвезу тебя домой.,A1,Действия
take — took — taken,"брать, нести",/teɪk/,Take this book with you.,Возьми эту книгу с собой.,A1,Действия
take a photo / take a picture,сфотографировать,/teɪk ə ˈfoʊˌtoʊ / teɪk ə ˈpɪkʧər/,Let's take a photo together. / Can you take a picture of us?,Давай сфотографируемся вместе.,A1,Действия
take a shower,душ (мыться),/ʃaʊər/,I take a shower in the morning.,Я принимаю душ утром.,A1,Действия
take an exam,сдавать экзамен,/teɪk ən ɪgˈzæm/,I take the exam today.,Я сдаю экзамен сегодня,A2,Учеба
Take care!,Береги себя!,/teɪk kɛr/,"Take care, see you soon!","Береги себя, увидимся скоро!",A2,Общение
take off,взлетать (о самолёте),/teɪk ɔf/,The plane takes off at 10.,Самолёт взлетает в 10,A2,Транспорт
take off something or take something off,снимать (одежду),/teɪk ɔf ˈsəmθɪŋ ər teɪk ˈsəmθɪŋ ɔf/,Take off your shoes.,Сними обувь,A2,Фразовые глаголы
take sugar,добавлять молоко/сахар (в чай/кофе),/teɪk/,"You take milk in your tea, don't you?","Вы же добавляете молоко в чай, не так ли?",B2,Еда
takeout,еда навынос,/ˈteɪ.kɑʊt/,Let's order takeout tonight.,Давай сегодня закажем еду навынос.,B1,Еда
talk,разговаривать,/tɔk/,Let's talk about your problem.,Давай поговорим о твоей проблеме,A1,Общение
tall,высокий (о человеке),/tɔl/,He is very tall.,Он очень высокий,A1,Описания
taste,вкус (сущ.),/teɪst/,I love the taste of garlic,Я люблю вкус чеснока.,B1,Еда
tasteless,безвкусный,/ˈteɪst.ləs/,The food was bland and tasteless.,Еда была пресной и безвкусной.,C1,Еда
tasty,вкусный,/ˈteɪst.i/,They do a very tasty breakfast,У них очень вкусный завтрак.,B1,Еда
taxi,такси,/ˈtæksi/,Let's take a taxi home.,Давай возьмём такси домой,A1,Транспорт
tea,чай,/tiː/,"I'd love a cup of tea, please","Пожалуй, я бы выпил чашку чаю.",A1,Еда
,,,,,,
teach,"учить, показать как",/tiʧ/,Teach me to swim.,Научи меня плавать,A2,Учеба
teach — taught — taught,"учить, преподавать",/tiʧ/,She teaches math.,Она преподаёт математику.,A1,Деньги и работа
teacher,учитель,/ˈtiʧər/,My teacher is very kind.,Мой учитель очень добрый,A1,Профессия
team,команда (спорт.),/tim/,My team won the game.,Моя команда выиграла игру,A2,Хобби и спорт
teaspoon,чайная ложка,/ˈtiːˌspuːn/,Add two teaspoons of sugar.,Добавьте две чайные ложки сахара.,B2,Еда
teenager,подросток,/ˈtiˌneɪʤər/,My son is a teenager now.,Мой сын теперь подросток.,A2,Люди
telephone,телефон / звонить,/ˈtɛləˌfoʊn/,The telephone is ringing.,Телефон звонит,A2,Технологии
television,телевизор,/ˈtɛləˌvɪʒən/,The television is new.,Телевизор новый.,A1,Дом
television,телевидение (программы),/ˈtɛləˌvɪʒən/,There is a good show on television.,По телевизору идёт хорошая передача,A1,Медиа
tell,"рассказывать, сообщать",/tɛl/,Tell me the story.,Расскажи мне историю,A1,Общение
tell somebody to do something,сказать кому-то сделать,/tɛl ˈsəmˌbɑdi tɪ du ˈsəmθɪŋ/,Tell him to come here.,"Скажи ему, чтобы пришёл сюда",A2,Общение
temperature,температура,/ˈtɛmpərəʧər/,The temperature is high.,Температура высокая,A2,Описания
ten,десять,/tɛn/,The lesson is ten minutes long.,Урок длится десять минут,A1,Числа
ten,десять,/ten/,I have ten fingers.,У меня десять пальцев.,A1,Числа
tender,нежный (о мясе/овощах),/ˈten.dər/,This meat is lovely and tender,Это мясо такое нежное.,B2,Еда
tennis,теннис,/ˈtɛnɪs/,I play tennis on weekends.,Я играю в теннис по выходным,A1,Хобби и спорт
terrible,ужасный,/ˈtɛrəbəl/,The weather was terrible.,Погода была ужасной,A2,Описания
test,"тест, экзамен",/tɛst/,We have a test tomorrow.,У нас завтра тест,A1,Учеба
text,текстовое сообщение,/tɛkst/,Send me a text.,Отправь мне сообщение,A2,Технологии
text,писать СМС,/tɛkst/,I'll text you later.,Я напишу тебе позже,A2,Технологии
text message,текстовое сообщение,/tɛkst ˈmɛsɪʤ/,I got your text message.,Я получил твоё текстовое сообщение,A2,Технологии
textbook,учебник,/ˈtɛkstˌbʊk/,My English textbook is new.,Мой учебник по английскому новый,A2,Учеба
than,чем (сравнение),/ðən/,He is taller than me.,"Он выше, чем я",A1,Служебные слова
than,чем (сравнение),/ðən/,He is older than me.,Он старше меня,A2,Служебные слова
thank,благодарить,/θæŋk/,I want to thank you.,Я хочу поблагодарить тебя,A2,Общение
thank you,спасибо,/θæŋk ju/,Thank you for your help.,Спасибо за твою помощь,A1,Общение
thank you,"да/нет, спасибо",/θæŋk ju/,"Tea? Thank you, yes.","Чай? Да, спасибо",A2,Общение
thanks,спасибо,/θæŋks/,Thanks for the gift.,Спасибо за подарок,A1,Общение
that,"тот, та (упомянутый)",/ðət/,That is a good idea.,Это хорошая идея,A1,Местоимения
that,"тот, та (видимый)",/ðət/,That house is mine.,Тот дом мой,A1,Местоимения
that,что (союз),/ðət/,I think that he is right.,"Я думаю, что он прав",A2,Служебные слова
the,(арт. перед превосх.),/ðə/,The best film ever.,Лучший фильм за всё время,A2,Служебные слова
the back,задняя часть,/ðə bæk/,Sit at the back.,Сиди сзади,A2,Описания
the Internet,интернет,/ðə ˈɪntərˌnɛt/,I use the Internet every day.,Я пользуюсь интернетом каждый день,A1,Технологии
the matter,"дело, проблема",/ðə ˈmætər/,What's the matter?,В чём дело?,A2,Общение
the middle,середина,/ðə ˈmɪdəl/,In the middle of the room.,В середине комнаты,A2,Описания
the moon,луна,/ðə mun/,The moon is bright tonight.,Луна яркая сегодня ночью,A2,Природа
the movies,кино (в кинотеатре),/ðə ˈmuviz/,Let's go to the movies tonight.,Пойдём в кино сегодня вечером,A1,Места
the net,интернет,/ðə nɛt/,Find it on the net.,Найди это в сети,A2,Технологии
the north,север,/ðə nɔrθ/,The north is cold.,На севере холодно,A2,Природа
the past,прошлое,/ðə pæst/,Don't live in the past.,Не живи в прошлом.,A2,Время
the present,настоящее время,/ðə ˈprɛzənt/,Live in the present.,Живи в настоящем.,A1,Время
the radio,радио (вещание),/ðə ˈreɪdiˌoʊ/,I listen to the radio in the car.,Я слушаю радио в машине,A1,Медиа
the rest,"остальное, остаток",/ðə rɛst/,Eat the rest of the cake.,Доешь остатки торта,A2,Описания
the same,"тот же, такой же",/ðə seɪm/,We have the same name.,У нас одинаковое имя,A1,Описания
the south,юг,/ðə saʊθ/,The south is warm.,На юге тепло,A2,Природа
the Web,"Интернет, Всемирная паутина",/ðə wɛb/,Search on the Web.,Поищи в Интернете,A2,Технологии
the west,запад,/ðə wɛst/,The west of the country.,Запад страны,A2,Природа
theater,театр,/ˈθieɪtər/,We go to the theater.,Мы ходим в театр,A2,Места
their,их,/ðɛr/,Their house is white.,Их дом белый,A1,Местоимения
theirs,их (притяжат.),/ðɛrz/,This car is theirs.,Эта машина их,A2,Местоимения
them,"их, им",/ðɛm/,I know them well.,Я хорошо их знаю,A1,Местоимения
themselves,"себя, сами (о них)",/ðɛmˈsɛlvz/,They blame themselves.,Они винят себя,A2,Местоимения
then,тогда,/ðɛn/,I was a child then.,Тогда я был ребёнком.,A1,Время
then,"затем, потом",/ðɛn/,"First eat, then play.","Сначала поешь, потом играй.",A1,Время
then,"тогда, в таком случае",/ðɛn/,"If it rains, then we stay.","Если пойдёт дождь, то мы останемся",A2,Служебные слова
there,туда,/ðɛr/,I will go there tomorrow.,Я пойду туда завтра,A1,Описания
there,там,/ðɛr/,The book is there.,Книга вон там,A1,Описания
There are,там есть (мн.),/ðɛr ər/,There are five apples.,Здесь пять яблок,A1,Служебные слова
There is,там есть (ед.),/ðɛr ɪz/,There is a book on the table.,На столе лежит книга,A1,Служебные слова
There was,там был,/ðɛr wɑz/,There was a cat here.,Здесь была кошка,A1,Служебные слова
There were,там были,/ðɛr wər/,There were many people.,Было много людей,A1,Служебные слова
these,эти,/ðiz/,These apples are red.,Эти яблоки красные,A1,Местоимения
these days,в наши дни,/ðiz deɪz/,"These days, it rains often.",В эти дни часто идёт дождь.,A2,Время
they,они,/ðeɪ/,They live in New York.,Они живут в Нью-Йорке,A1,Местоимения
thin,тонкий,/θɪn/,The paper is thin.,Бумага тонкая,A2,Описания
thing,вещь,/θɪŋ/,What is this thing?,Что это за штука?,A1,Описания
thing,"занятие, дело",/θɪŋ/,Running is my thing.,Бег — это моё,A2,Описания
things,вещи,/θɪŋz/,I have many things to do.,У меня много дел,A1,Описания
think,"думать, считать",/θɪŋk/,I think you are right.,"Я думаю, ты прав",A1,Эмоции
think,думать (мнение),/θɪŋk/,What do you think about it?,Что ты об этом думаешь?,A1,Эмоции
think,думать (рассматривать),/θɪŋk/,I'm thinking of going.,Я подумываю пойти,A2,Эмоции
third,третий,/θərd/,She is in third place.,Она на третьем месте,A2,Числительные (порядковые)
thirsty,испытывающий жажду,/ˈθɜr.sti/,We were hungry and thirsty by the end of our walk,К концу прогулки мы были голодны и хотели пить.,A2,Еда
,,,,,,
thirteen,тринадцать,/ˌθərˈtin/,My sister is thirteen.,Моей сестре тринадцать,A1,Числа
thirteen,тринадцать,/θɜːˈtiːn/,She is thirteen years old.,Ей тринадцать лет.,A2,Числа
thirty,тридцать,/ˈθərˌdi/,Thirty days in the month.,Тридцать дней в месяце,A2,Числа
thirty,тридцать,/ˈθɜː.ti/,There are thirty days in September.,В сентябре тридцать дней.,A2,Числа
this,этот (упомянутый),/ðɪs/,This is what I want.,"Это то, что я хочу",A1,Местоимения
this,этот (видимый),/ðɪs/,This book is mine.,Эта книга моя,A1,Местоимения
this,этот (время),/ðɪs/,This Friday is my birthday.,Эта пятница — мой день рождения,A1,Местоимения
this,"это, этот (упомянутый, видимый)",/ðɪs/,This is what I want.,Вот чего я хочу,A2,Местоимения
those,те,/ðoʊz/,Those are my friends.,Те мои друзья,A1,Местоимения
thousand,тысяча,/ˈθaʊzənd/,A thousand people came.,Пришла тысяча человек,A2,Числа
three,три,/θri/,We need three chairs.,Нам нужно три стула,A1,Числа
three,три,/θriː/,Three people are waiting.,Три человека ждут.,A1,Числа
through,"сквозь, через",/θru/,Walk through the park.,Иди через парк,A2,Описания
throw — threw — thrown,бросать,/θroʊ/,Throw the ball to me.,Брось мне мяч.,A2,Хобби и спорт
thunderstorm,гроза,/ˈθəndərˌstɔrm/,We heard a thunderstorm.,Мы слышали грозу,A2,Природа
Thursday,четверг,/ˈθərzˌdeɪ/,I have English class on Thursday.,У меня урок английского в четверг.,A1,Дни недели
ticket,билет,/ˈtɪkɪt/,I need two tickets.,Мне нужны два билета,A1,Покупки
tie,галстук,/taɪ/,He wears a blue tie.,Он носит синий галстук,A2,Одежда
tights,колготки,/taɪts/,These tights are too thin.,Эти колготки слишком тонкие,A2,Одежда
till,до (о времени),/tɪl/,Wait till tomorrow.,Подожди до завтра.,A2,Время
time,раз,/taɪm/,It happened first time.,Это случилось в первый раз.,A1,Время
time,"время (мин, часы)",/taɪm/,What time is it?,Который час?,A2,Время
tire,"шина, покрышка",/taɪər/,The tire is flat.,Шина спущена,A2,Транспорт
tired,уставший,/taɪərd/,I am tired after work.,Я устал после работы,A1,Эмоции
to,частица to (инфинитив),/tɪ/,I want to learn English.,Я хочу выучить английский,A1,Служебные слова
to,без (о времени),/tɪ/,It's five to ten.,Без пяти десять,A1,Служебные слова
to,"к, в (направление)",/tɪ/,I am going to school.,Я иду в школу,A1,Служебные слова
to,(вместо повтора гл.),/tɪ/,"I want to, but I can't.","Я хочу, но не могу",A2,Служебные слова
to,кому (получатель),/tɪ/,Give it to him.,Дай это ему,A2,Служебные слова
to do (something),сделать что-то,/tɪ du ˈsəmθɪŋ/,I have to do my homework.,Я должен сделать домашнее задание,A1,Общение
to go,навынос,/goʊ/,"I'd like a cheeseburger and strawberry milk shake to go, please","Мне, пожалуйста, чизбургер и клубничный молочный коктейль — навынос.",B1,Еда
to taste,иметь вкус (хороший/плохой и т.д.),/teɪst/,This sauce tastes strange.,Этот соус на вкус странный.,B1,Еда
toast,тост хлеба,/toʊst/,I had toast and marmalade for breakfast.,На завтрак у меня был тост с мармеладом.,A2,Еда
,,,,,,
today,сегодня,/təˈdeɪ/,Today is Monday.,Сегодня понедельник.,A1,Время
toe,палец на ноге,/toʊ/,I hurt my toe.,Я ушиб палец на ноге,A2,Тело и здоровье
together,вместе,/təˈgɛðər/,Let's go together.,Пойдём вместе,A1,Описания
toilet,"туалет, унитаз",/ˈtɔɪlət/,Where is the toilet?,Где туалет?,A1,Дом
tomato,помидор,/təˈmeɪt̬.oʊ/,Do you like cucumber and tomato salad?,Вы любите салат из огурцов и помидоров?,A1,Еда
,,,,,,
tomorrow,завтра,/təˈmɑˌroʊ/,I will call you tomorrow.,Я позвоню тебе завтра.,A1,Время
tonight,вечер,/naɪt/,See you tonight.,Увидимся сегодня вечером.,A1,Время
tonight,сегодня вечером,/təˈnaɪt/,We go to a party tonight.,Сегодня вечером мы идём на вечеринку.,A1,Время
tonight,сегодняшний вечер,/təˈnaɪt/,Tonight is special.,Сегодняшний вечер особенный.,A2,Время
too,"тоже, также",/tu/,I want to go too.,Я тоже хочу пойти,A1,Служебные слова
too hard,слишком трудный,/tu hɑrd/,This test is too hard.,Этот тест слишком сложный,A1,Описания
too much,слишком много,/tu məʧ/,Don't eat too much!,Не ешь слишком много!,A2,Описания
too small,слишком маленький,/tu smɔl/,This shirt is too small.,Эта рубашка слишком мала,A1,Описания
tooth,зуб,/tuθ/,I have a bad tooth.,У меня плохой зуб,A1,Тело и здоровье
toothache,зубная боль,/ˈtuθˌeɪk/,I have a toothache.,У меня болит зуб,A2,Тело и здоровье
toothbrush,зубная щётка,/ˈtuθbrəʃ/,I need a new toothbrush.,Мне нужна новая зубная щётка.,A2,Дом
top,"верх, верхушка",/tɔp/,On top of the mountain.,На вершине горы,A2,Описания
tough,жёсткий (о мясе),/tʌf/,This steak is very tough,Этот стейк очень жёсткий.,B2,Еда
tour,"тур, экскурсия",/tʊr/,We went on a city tour.,Мы поехали на экскурсию по городу,A2,Транспорт
tour guide,"экскурсовод, гид",/tʊr gaɪd/,The tour guide speaks English.,Гид говорит по-английски,A2,Транспорт
tourist,турист,/ˈtʊrɪst/,Tourists love this city.,Туристы любят этот город,A2,Транспорт
towel,полотенце,/taʊəl/,"Pass me a towel, please.","Передай мне полотенце, пожалуйста.",A2,Дом
town,город (небольшой),/taʊn/,I live in a small town.,Я живу в маленьком городке,A1,Природа
town,город (близлежащий),/taʊn/,We're going to town.,Мы едем в город,A2,Места
toy,игрушка,/tɔɪ/,Kids have many toys.,У детей много игрушек,A2,Хобби и спорт
traffic,дорожное движение,/ˈtræfɪk/,Traffic is bad today.,Движение сегодня плохое,A2,Транспорт
traffic light,светофор,/ˈtræfɪk laɪt/,Wait at the traffic light.,Жди у светофора,A2,Транспорт
train,поезд,/treɪn/,The train is fast.,Поезд быстрый,A1,Транспорт
tram,трамвай,/træm/,The tram is slow.,Трамвай медленный,A2,Транспорт
travel — traveled,путешествовать,/ˈtrævəl/,I love to travel.,Я люблю путешествовать.,A1,Путешествие
tray,поднос,/treɪ/,She was carrying a tray of drinks,Она несла поднос с напитками.,B2,Еда
tree,дерево,/tri/,The tree is very tall.,Дерево очень высокое,A1,Природа
trip,поездка,/trɪp/,We took a trip to Italy.,Мы совершили поездку в Италию,A2,Транспорт
try — tried,"пытаться, стараться",/traɪ/,Try to be on time.,Постарайся быть вовремя.,A2,Действия
try on something or try something on,примерять,/traɪ ɔn ˈsəmθɪŋ ər traɪ ˈsəmθɪŋ ɔn/,Try on this dress.,Примерь это платье,A2,Одежда
Tuesday,вторник,/ˈtuzˌdeɪ/,We meet every Tuesday.,Мы встречаемся каждый вторник.,A1,Дни недели
tuna,тунец,/ˈtuː.nə/,I had a tuna sandwich for lunch,Я ел бутерброд с тунцом на обед.,B1,Еда
turn — turned,поворачивать,/tərn/,Turn left at the corner.,Поверни налево на углу.,A2,Места
turn off something or turn something off,выключать,/tərn ɔf ˈsəmθɪŋ ər tərn ˈsəmθɪŋ ɔf/,Turn off the light.,Выключи свет,A2,Фразовые глаголы
turn on something or turn something on,включать,/tərn ɔn ˈsəmθɪŋ ər tərn ˈsəmθɪŋ ɔn/,Turn on the TV.,Включи телевизор,A2,Фразовые глаголы
TV,"телевизор, ТВ",/ˌtɛləˈvɪʒən/,I watch TV every evening.,Я смотрю телевизор каждый вечер.,A1,Дом
twelve,двенадцать,/twɛlv/,A year has twelve months.,В году двенадцать месяцев,A1,Числа
twelve,двенадцать,/twelv/,A year has twelve months.,В году двенадцать месяцев.,A2,Числа
twenty,двадцать,/ˈtwɛnti/,Twenty people came to the party.,Двадцать человек пришло на вечеринку,A1,Числа
twenty,двадцать,/ˈtwen.ti/,Twenty people came.,Пришло двадцать человек.,A2,Числа
twenty-eight,двадцать восемь,/ˌtwen.tiˈeɪt/,February has twenty-eight days.,В феврале двадцать восемь дней.,A2,Числа
twenty-five,двадцать пять,/ˌtwen.tiˈfaɪv/,He is twenty-five years old.,Ему двадцать пять лет.,A2,Числа
twenty-four,двадцать четыре,/ˌtwen.tiˈfɔː/,There are twenty-four hours in a day.,В сутках двадцать четыре часа.,A2,Числа
twenty-nine,двадцать девять,/ˌtwen.tiˈnaɪn/,He scored twenty-nine points.,Он набрал двадцать девять очков.,A2,Числа
twenty-one,двадцать один,/ˌtwen.tiˈwʌn/,I have twenty-one books.,У меня двадцать одна книга.,A2,Числа
twenty-seven,двадцать семь,/ˌtwen.tiˈsev.ən/,She invited twenty-seven guests.,Она пригласила двадцать семь гостей.,A2,Числа
twenty-six,двадцать шесть,/ˌtwen.tiˈsɪks/,The answer is on page twenty-six.,Ответ находится на двадцать шестой странице.,A2,Числа
twenty-three,двадцать три,/ˌtwen.tiˈθriː/,She bought twenty-three roses.,Она купила двадцать три розы.,A2,Числа
twenty-two,двадцать два,/ˌtwen.tiˈtuː/,Twenty-two students passed the test.,Двадцать два студента сдали тест.,A2,Числа
twice,дважды,/twaɪs/,I visited her twice.,Я навещал её дважды.,A2,Время
two,два,/tu/,She has two cats.,У неё две кошки,A1,Числа
two,два,/tuː/,She has two cats.,У неё две кошки.,A1,Числа
two o'clock,два часа,/tu əˈklɑk/,The meeting is at two o'clock.,Встреча в два часа.,A1,Время
type,"тип, вид",/taɪp/,What type of car?,Какой тип автомобиля?,A2,Описания
ubiquitous,повсеместный,/juːˈbɪkwɪtəs/,Smartphones are ubiquitous.,,C1,Абстрактные
umbrella,зонт,/ˈəmˌbrɛlə/,Take your umbrella.,Возьми свой зонт,A2,Одежда
uncle,дядя,/ˈəŋkəl/,My uncle lives abroad.,Мой дядя живёт за границей,A2,Семья
under,под,/ˈəndər/,The cat is under the table.,Кошка под столом,A1,Служебные слова
under,меньше чем,/ˈəndər/,The children are under ten.,Дети младше десяти лет,A2,Описания
understand,понимать (причину),/ˌəndərˈstænd/,I understand why.,"Я понимаю, почему",A2,Общение
understand — understood — understood,понимать,/ˌəndərˈstænd/,I don't understand you.,Я тебя не понимаю.,A1,Общение
unfortunately,к сожалению,/ənˈfɔrʧənətli/,"Unfortunately, I can't come.","К сожалению, я не могу прийти",A2,Общение
unhappy,"несчастный, грустный",/ənˈhæpi/,She looks unhappy today.,Она выглядит несчастной сегодня,A2,Эмоции
